Date,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
06-12-2023,44080.02425018693,44265.770402622264,43478.08131594225,43746.44535725917,29909761585.63,855807598358.2,2023-12-06T00:00:00.000Z,2023-12-06T14:29:00.000Z,2023-12-06T11:35:00.000Z,2023-12-06T23:59:59.999Z
05-12-2023,41986.264347015014,44408.665735092596,41421.14738527545,44080.647951063314,36312154534.7,862310043283.5,2023-12-05T00:00:00.000Z,2023-12-05T22:30:00.000Z,2023-12-05T07:45:00.000Z,2023-12-05T23:59:59.999Z
04-12-2023,39978.62864779512,42371.74944058906,39978.62864779512,41980.099479767974,39856129826.57,821180324321.75,2023-12-04T00:00:00.000Z,2023-12-04T22:20:00.000Z,2023-12-04T00:00:00.000Z,2023-12-04T23:59:59.999Z
03-12-2023,39472.20747117243,40135.604896908866,39298.16552366375,39978.39181654488,15769696321.58,781986059221.04,2023-12-03T00:00:00.000Z,2023-12-03T23:11:00.000Z,2023-12-03T03:13:00.000Z,2023-12-03T23:59:59.999Z
02-12-2023,38689.27861716844,39678.93728660055,38652.59567621822,39476.33328037219,15534035611.94,772125221563.13,2023-12-02T00:00:00.000Z,2023-12-02T21:54:00.000Z,2023-12-02T00:32:00.000Z,2023-12-02T23:59:59.999Z
01-12-2023,37718.00962644962,38954.11042677053,37629.35891204924,38688.748361191225,23512784001.94,756690015947.53,2023-12-01T00:00:00.000Z,2023-12-01T16:35:00.000Z,2023-12-01T00:28:00.000Z,2023-12-01T23:59:59.999Z
30-11-2023,37861.11888270345,38141.75354720202,37531.14162854772,37712.747771632465,18115982627.42,737560917365.82,2023-11-30T00:00:00.000Z,2023-11-30T04:16:00.000Z,2023-11-30T15:50:00.000Z,2023-11-30T23:59:59.999Z
29-11-2023,37826.10552174302,38366.112996583346,37612.63162335785,37858.49405482494,20728546657.66,740379866134.15,2023-11-29T00:00:00.000Z,2023-11-29T08:58:00.000Z,2023-11-29T15:14:00.000Z,2023-11-29T23:59:59.999Z
28-11-2023,37247.991174823546,38368.47995486516,36891.08936198884,37831.08686845,21696137014.15,739813120655.74,2023-11-28T00:00:00.000Z,2023-11-28T19:43:00.000Z,2023-11-28T05:39:00.000Z,2023-11-28T23:59:59.999Z
27-11-2023,37454.191955258146,37559.35455034673,36750.12710453502,37254.168854249416,19002925719.53,728495474098.44,2023-11-27T00:00:00.000Z,2023-11-27T01:08:00.000Z,2023-11-27T16:02:00.000Z,2023-11-27T23:59:59.999Z
26-11-2023,37796.82886433745,37820.30134246359,37162.749153516874,37479.122293661945,13744796068.31,732864171270.83,2023-11-26T00:00:00.000Z,2023-11-26T08:35:00.000Z,2023-11-26T17:02:00.000Z,2023-11-26T23:59:59.999Z
25-11-2023,37721.413447934894,37892.429965573516,37617.416834631484,37796.792344848036,9099571165.44,739040907499.57,2023-11-25T00:00:00.000Z,2023-11-25T20:05:00.000Z,2023-11-25T11:44:00.000Z,2023-11-25T23:59:59.999Z
24-11-2023,37296.316833016084,38415.33819823755,37261.6060502206,37720.28115213977,22922957822.74,737506220401.3,2023-11-24T00:00:00.000Z,2023-11-24T15:41:00.000Z,2023-11-24T00:14:00.000Z,2023-11-24T23:59:59.999Z
23-11-2023,37420.43387556987,37643.918419055015,36923.86436380836,37289.62066062905,14214948217.22,729048665033.17,2023-11-23T00:00:00.000Z,2023-11-23T10:00:00.000Z,2023-11-23T15:55:00.000Z,2023-11-23T23:59:59.999Z
22-11-2023,35756.55325773877,37856.979911771865,35670.97187751927,37432.33830672268,24397247860.33,731805245915.84,2023-11-22T00:00:00.000Z,2023-11-22T21:32:00.000Z,2023-11-22T00:01:00.000Z,2023-11-22T23:59:59.999Z
21-11-2023,37469.159707143444,37631.139641792564,35813.811363629546,35813.811363629546,25172163755.87,700129319722.62,2023-11-21T00:00:00.000Z,2023-11-21T02:01:00.000Z,2023-11-21T23:59:00.000Z,2023-11-21T23:59:59.999Z
20-11-2023,37374.07468470207,37756.819289240615,36882.53198128876,37476.95585928785,20888209067.56,732607478252.01,2023-11-20T00:00:00.000Z,2023-11-20T17:52:00.000Z,2023-11-20T14:12:00.000Z,2023-11-20T23:59:59.999Z
